Metric,Current,Prior,Abs Change,% Change,pp Change,Unit,Comparison
Average LMR,64.49%,58.83%,,,5.66,%,YoY (quarter)
Average CFR,321.25%,293.74%,,,27.51,%,YoY (quarter)
